n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,2,0.0005,normal,0,10000000,9331182,0,0,0,0.9331182,0.0,0,83.7885767701082,"['x', 'x', 'x', 'x']"
4,x,2,0.0005,m1,0,10000000,9424310,0,0,0,0.942431,0.0,0,3.4743342995643616,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,normal,0,10000000,9862346,0,0,0,0.9862346,0.0,0,25.47322544734925,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,m1,0,10000000,9882511,0,0,0,0.9882511,0.0,0,4.682301655877382,"['x', 'x', 'x', 'x']"
4,x,3,0.0005,normal,0,10000000,9503697,0,0,0,0.9503697,0.0,0,80.60112694418058,"['z', 'x', 'x', 'x']"
4,x,3,0.0005,m1,0,10000000,9599381,0,0,0,0.9599381,0.0,0,2.6409590393304825,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,normal,0,10000000,9898498,0,0,0,0.9898498,0.0,0,27.665562400594357,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,m1,0,10000000,9918846,0,0,0,0.9918846,0.0,0,1.3703444031998515,"['z', 'x', 'x', 'x']"
4,x,4,0.0005,normal,0,10000000,9272480,53,106,0,0.927248,5.71583869690695e-06,0,868.8763294983655,"['x', 'z', 'x', 'x']"
4,x,4,0.0005,m1,0,10000000,9414407,56,112,0,0.9414407,5.948330043525907e-06,0,76.0032009491697,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,normal,0,10000000,9850874,3,6,0,0.9850874,3.045415056801559e-07,0,869.6731417449191,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,m1,0,10000000,9880082,2,3,0,0.9880082,2.024274697864925e-07,0,57.60294052492827,"['x', 'z', 'x', 'x']"
4,x,5,0.0005,normal,0,10000000,9681043,0,0,0,0.9681043,0.0,0,96.30839161993936,"['z', 'z', 'x', 'x']"
4,x,5,0.0005,m1,0,10000000,9778321,0,0,0,0.9778321,0.0,0,3.829326803330332,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,normal,0,10000000,9935234,0,0,0,0.9935234,0.0,0,39.482691096141934,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,m1,0,10000000,9955114,0,0,0,0.9955114,0.0,0,2.4422763912007213,"['z', 'z', 'x', 'x']"
4,x,6,0.0005,normal,0,10000000,9263444,91,182,0,0.9263444,9.823560222277372e-06,0,1060.4374116631225,"['x', 'x', 'z', 'x']"
4,x,6,0.0005,m1,0,10000000,9404432,95,190,0,0.9404432,1.0101620172231485e-05,0,207.59467633394524,"['x', 'x', 'z', 'x']"
4,x,6,0.0001,normal,0,10000000,9848668,2,5,0,0.9848668,2.030731465207936e-07,0,1072.786632701289,"['x', 'x', 'z', 'x']"
4,x,6,0.0001,m1,0,10000000,9878106,3,6,0,0.9878106,3.0370194448181564e-07,0,158.87041556369513,"['x', 'x', 'z', 'x']"
4,x,9,0.0005,normal,0,10000000,10000000,0,0,0,1.0,0.0,0,62.37918851291761,"['z', 'z', 'z', 'x']"
4,x,9,0.0005,m1,0,10000000,10000000,0,0,0,1.0,0.0,0,1.16824996098876,"['z', 'z', 'z', 'x']"
4,x,9,0.0001,normal,0,10000000,10000000,0,0,0,1.0,0.0,0,20.2169670551084,"['z', 'z', 'z', 'x']"
4,x,9,0.0001,m1,0,10000000,10000000,0,0,0,1.0,0.0,0,0.4021246042102575,"['z', 'z', 'z', 'x']"
